语言ID,说明,CN,,,,,,,
主键
ID,Null,Content,,,,,
index,null,string,,,,,
50000,任务标题,踏入征途,,,,,,,
50001,任务说明,通过第一章第2关,,,,,,,
50002,任务标题,踏入征途,,,,,,,
50003,任务说明,通过第一章第4关,,,,,,,
50004,任务标题,踏入征途,,,,,,,
50005,任务说明,通过第一章第6关,,,,,,,
50006,任务标题,踏入征途,,,,,,,
50007,任务说明,通过第一章第8关,,,,,,,
50008,任务标题,踏入征途,,,,,,,
50009,任务说明,通过第一章第10关,,,,,,,
50010,任务标题,踏入征途,,,,,,,
50011,任务说明,通过第二章第2关,,,,,,,
50012,任务标题,踏入征途,,,,,,,
50013,任务说明,通过第二章第4关,,,,,,,
50014,任务标题,踏入征途,,,,,,,
50015,任务说明,通过第二章第6关,,,,,,,
50016,任务标题,踏入征途,,,,,,,
50017,任务说明,通过第二章第8关,,,,,,,
50018,任务标题,踏入征途,,,,,,,
50019,任务说明,通过第二章第10关,,,,,,,
50020,任务标题,踏入征途,,,,,,,
50021,任务说明,通过第三章第2关,,,,,,,
50022,任务标题,踏入征途,,,,,,,
50023,任务说明,通过第三章第4关,,,,,,,
50024,任务标题,踏入征途,,,,,,,
50025,任务说明,通过第三章第6关,,,,,,,
50026,任务标题,踏入征途,,,,,,,
50027,任务说明,通过第三章第8关,,,,,,,
50028,任务标题,踏入征途,,,,,,,
50029,任务说明,通过第三章第10关,,,,,,,
50030,任务标题,踏入征途,,,,,,,
50031,任务说明,通过第四章第2关,,,,,,,
50032,任务标题,踏入征途,,,,,,,
50033,任务说明,通过第四章第4关,,,,,,,
50034,任务标题,踏入征途,,,,,,,
50035,任务说明,通过第四章第6关,,,,,,,
50036,任务标题,踏入征途,,,,,,,
50037,任务说明,通过第四章第8关,,,,,,,
50038,任务标题,踏入征途,,,,,,,
50039,任务说明,通过第四章第10关,,,,,,,
50040,任务标题,踏入征途,,,,,,,
50041,任务说明,通过第五章第2关,,,,,,,
50042,任务标题,踏入征途,,,,,,,
50043,任务说明,通过第五章第4关,,,,,,,
50044,任务标题,踏入征途,,,,,,,
50045,任务说明,通过第五章第6关,,,,,,,
50046,任务标题,踏入征途,,,,,,,
50047,任务说明,通过第五章第8关,,,,,,,
50048,任务标题,踏入征途,,,,,,,
50049,任务说明,通过第五章第10关,,,,,,,
50050,任务标题,踏入征途,,,,,,,
50051,任务说明,通过第六章第2关,,,,,,,
50052,任务标题,踏入征途,,,,,,,
50053,任务说明,通过第六章第4关,,,,,,,
50054,任务标题,踏入征途,,,,,,,
50055,任务说明,通过第六章第6关,,,,,,,
50056,任务标题,踏入征途,,,,,,,
50057,任务说明,通过第六章第8关,,,,,,,
50058,任务标题,踏入征途,,,,,,,
50059,任务说明,通过第六章第10关,,,,,,,
55004,日常任务标题,抽抽乐,,,,,,,
55005,日常任务说明,抽卡1次,,,,,,,
55006,日常任务标题,刷卡,,,,,,,
55007,日常任务说明,英雄吞噬任意经验道具,,,,,,,
55008,日常任务标题,日进斗金,,,,,,,
55009,日常任务说明,使用钻石购买金币3次,,,,,,,
55016,日常任务标题,英灵之主,,,,,,,
55017,日常任务说明,通过1次英雄试炼,,,,,,,
55018,日常任务标题,淘宝之王,,,,,,,
55019,日常任务说明,通过1次金币试炼,,,,,,,
55022,日常任务标题,切磋技艺,,,,,,,
55023,日常任务说明,完成5场对玩家竞技,,,,,,,
55030,日常任务标题,活跃奖励,,,,,,,
55031,日常任务说明,为公会贡献100点活跃值,,,,,,,
55032,日常任务标题,派遣佣兵,,,,,,,
55033,日常任务说明,召回并派遣1名佣兵到公会,,,,,,,
55036,日常任务标题,装备打造,,,,,,,
55037,日常任务说明,打造任意1件装备,,,,,,,
55038,日常任务标题,竞技宝箱,,,,,,,
55039,日常任务说明,购买1个竞技宝箱,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
